Water plant mk1: RUN
Date Time Aloe Palm
2019-02-21 18:07:42.697343 0 0
Water plant mk1: RUN
Date Time Aloe Palm
2019-02-21 18:08:53.189760 0 0
Water plant mk1: RUN
Date Time Aloe Palm
2019-02-25 13:50:58.485726 0 0
2019-02-25 14:05:58.533834 0 0
2019-02-25 14:20:58.634150 0 0
2019-02-25 14:35:58.734487 0 0
2019-02-25 14:50:58.834817 0 0
2019-02-25 15:05:58.935159 0 0
2019-02-25 15:20:59.035516 0 0
2019-02-25 15:35:59.135850 0 0
2019-02-25 15:50:59.236192 0 0
2019-02-25 16:05:59.286215 0 0
2019-02-25 16:20:59.386359 0 0
2019-02-25 16:35:59.486699 0 0
2019-02-25 16:50:59.586914 0 0
2019-02-25 17:05:59.687216 0 0
2019-02-25 17:20:59.787525 0 0
2019-02-25 17:35:59.887857 0 0
2019-02-25 17:50:59.987976 0 0
2019-02-25 18:06:00.088282 0 0
2019-02-25 18:21:00.188322 0 0
2019-02-25 18:36:00.288652 0 0
2019-02-25 18:51:00.388740 0 0
2019-02-25 19:06:00.489051 0 0
2019-02-25 19:21:00.589162 0 0
2019-02-25 19:36:00.689490 0 0
2019-02-25 19:51:00.789637 0 0
2019-02-25 20:06:00.889938 0 0
2019-02-25 20:21:00.990054 0 0
2019-02-25 20:36:01.090355 0 0
2019-02-25 20:51:01.190029 0 0
2019-02-25 21:06:01.290316 0 0
2019-02-25 21:21:01.391257 0 0
2019-02-25 21:36:01.491594 0 0
2019-02-25 21:51:01.591413 0 0
2019-02-25 22:06:01.691742 0 0
2019-02-25 22:21:01.791747 0 0
2019-02-25 22:36:01.805953 0 0
2019-02-25 22:51:01.906074 0 0
2019-02-25 23:06:01.962768 0 0
2019-02-25 23:21:02.063116 0 0
2019-02-25 23:36:02.163486 0 0
2019-02-25 23:51:02.263875 0 0
2019-02-26 00:06:02.364250 0 0
2019-02-26 00:21:02.464638 0 0
2019-02-26 00:36:02.555427 0 0
2019-02-26 00:51:02.655759 0 0
2019-02-26 01:06:02.665399 0 0
2019-02-26 01:21:02.765724 0 0
2019-02-26 01:36:02.781462 0 0
2019-02-26 01:51:02.881809 0 0
2019-02-26 02:06:02.982142 0 0
2019-02-26 02:21:03.082469 0 0
2019-02-26 02:36:03.182768 0 0
2019-02-26 02:51:03.283067 0 0
2019-02-26 03:06:03.383380 0 0
2019-02-26 03:21:03.483705 0 0
2019-02-26 03:36:03.584027 0 0
2019-02-26 03:51:03.684345 0 0
2019-02-26 04:06:03.784666 0 0
2019-02-26 04:21:03.885002 0 0
2019-02-26 04:36:03.985380 0 0
2019-02-26 04:51:04.085699 0 0
2019-02-26 05:06:04.186027 0 0
2019-02-26 05:21:04.286348 0 0
2019-02-26 05:36:04.386671 0 0
2019-02-26 05:51:04.487005 0 0
2019-02-26 06:06:04.574167 0 0
2019-02-26 06:21:04.674482 0 0
2019-02-26 06:36:04.774796 0 0
2019-02-26 06:51:04.875124 0 0
2019-02-26 07:06:04.975466 0 0
2019-02-26 07:21:05.075780 0 0
2019-02-26 07:36:05.176110 0 0
2019-02-26 07:51:05.276400 0 0
2019-02-26 08:06:05.376717 0 0
2019-02-26 08:21:05.477042 0 0
2019-02-26 08:36:05.577361 0 0
2019-02-26 08:51:05.677682 0 0
2019-02-26 09:06:05.778003 0 0
2019-02-26 09:21:05.878349 0 0
2019-02-26 09:36:05.978692 0 0
2019-02-26 09:51:06.049917 0 0
2019-02-26 10:06:06.150232 0 0
2019-02-26 10:21:06.250578 0 0
2019-02-26 10:36:06.350914 0 0
2019-02-26 10:51:06.451257 0 0
2019-02-26 11:06:06.551597 0 0
2019-02-26 11:21:06.651937 0 0
2019-02-26 11:36:06.752278 0 0
2019-02-26 11:51:06.852615 0 0
2019-02-26 12:06:06.895415 0 1
2019-02-26 12:21:06.995767 0 1
2019-02-26 12:36:07.096126 0 1
2019-02-26 12:51:07.196483 0 1
2019-02-26 13:06:07.296822 0 1
2019-02-26 13:21:07.397178 0 1
2019-02-26 13:36:07.497515 0 1
2019-02-26 13:51:07.569903 0 1
2019-02-26 14:06:07.670236 0 1
2019-02-26 14:21:07.770567 0 1
2019-02-26 14:36:07.805399 0 1
2019-02-26 14:51:07.905736 0 1
2019-02-26 15:06:07.965395 0 1
2019-02-26 15:21:08.065695 0 1
2019-02-26 15:36:08.165992 0 1
2019-02-26 15:51:08.266284 0 1
2019-02-26 16:06:08.366584 0 1
2019-02-26 16:21:08.466882 0 1
2019-02-26 16:36:08.567190 0 1
2019-02-26 16:51:08.667507 0 1
2019-02-26 17:06:08.767815 0 1
2019-02-26 17:21:08.868121 0 1
2019-02-26 17:36:08.968432 0 1
2019-02-26 17:51:09.068765 0 1
2019-02-26 18:06:09.169092 0 1
2019-02-26 18:21:09.269407 0 1
2019-02-26 18:36:09.369701 0 1
2019-02-26 18:51:09.470004 0 1
2019-02-26 19:06:09.570312 0 1
2019-02-26 19:21:09.670607 0 1
2019-02-26 19:36:09.770915 0 1
2019-02-26 19:51:09.871210 0 1
2019-02-26 20:06:09.971536 0 1
